Audit_date;"ID";"Priority";"Status";"Status_Reason";"Assigned_Group";"Login";"Assignee";"Company";"Company_desc"
2020/10/20 17:31:24;INC30005769504;Medium  (2);Assigned  (1);;BLUE_CACHE;;;Nazario-Más SRL;Jerarquía nacional con triple
2020/10/20 17:34:02;INC30005769504;;;;;amenaco;Adelaida Mena Correa;Nazario-Más SRL;Jerarquía nacional con triple
2020/10/20 18:53:06;INC30005769504;;Pending  (3);Future Enhancement  (11000);;;;Nazario-Más SRL;Jerarquía nacional con triple
2020/10/21 08:43:54;INC30005769504;;;;;gvegacl;Graciana Vega Clavero;Nazario-Más SRL;Jerarquía nacional con triple
2021/01/25 09:26:24;INC30005769504;;Assigned  (1);;;;;Nazario-Más SRL;Jerarquía nacional con triple
2021/01/25 11:18:46;INC30005769504;;Pending  (3);Request  (10000);;;;Nazario-Más SRL;Jerarquía nacional con triple
2021/01/28 14:50:22;INC30005769504;;Resolved  (4);Automated Resolution Reported  (19000);;;;Nazario-Más SRL;Jerarquía nacional con triple
2021/02/04 18:00:00;INC30005769504;;Closed  (5);;;;;Nazario-Más SRL;Jerarquía nacional con triple
2020/11/26 10:25:03;INC30005993909;Medium  (2);Assigned  (1);;BUFFERBIOSPHERE;;;Asociación Serrano S. de H.;Engileo terciario asimilado
2021/02/19 11:46:45;INC30005993909;;;;BUFFERBROOK;;;Asociación Serrano S. de H.;Engileo terciario asimilado
2021/02/19 13:24:18;INC30005993909;;Pending  (3);Client Action Required  (8000);;calcarazug;Candela Alcaraz Ugarte;Asociación Serrano S. de H.;Engileo terciario asimilado
2021/02/19 15:11:53;INC30005993909;;Assigned  (1);;BYTEBLAST;;;Asociación Serrano S. de H.;Engileo terciario asimilado
2021/02/19 15:35:33;INC30005993909;;;;ALPHA_ROUTER;cmartorellgo;Candelario Martorell Gomila;Asociación Serrano S. de H.;Engileo terciario asimilado
2021/02/19 15:37:03;INC30005993909;;;;GREEN_BAY;cmuñizpa;Custodia Elvira Múñiz Pastor;Asociación Serrano S. de H.;Engileo terciario asimilado
2021/02/19 16:46:24;INC30005993909;;In Progress  (2);;;ctoledoma;Chema Toledo Marco;Asociación Serrano S. de H.;Engileo terciario asimilado
2021/02/19 16:52:56;INC30005993909;;Pending  (3);Client Action Required  (8000);;;;Asociación Serrano S. de H.;Engileo terciario asimilado
2021/02/19 17:19:27;INC30005993909;;Resolved  (4);Automated Resolution Reported  (19000);;;;Asociación Serrano S. de H.;Engileo terciario asimilado
2021/02/26 18:00:00;INC30005993909;;Closed  (5);;;;;Asociación Serrano S. de H.;Engileo terciario asimilado
2020/12/18 08:35:57;INC30006112696;Low  (3);Assigned  (1);;BLUE_CACHE;;;Asociación Reynoso SRL;Conjunto de herramientas heurísticas personalizables
2020/12/18 09:32:09;INC30006112696;;;;;aalcantarazo;Azeneth Alcántara Zorrilla;Asociación Reynoso SRL;Conjunto de herramientas heurísticas personalizables
2020/12/18 10:51:38;INC30006112696;;;;;gvegacl;Graciana Vega Clavero;Asociación Reynoso SRL;Conjunto de herramientas heurísticas personalizables
2020/12/18 12:17:38;INC30006112696;;Pending  (3);Request  (10000);;;;Asociación Reynoso SRL;Conjunto de herramientas heurísticas personalizables
2021/01/25 09:25:15;INC30006112696;;Assigned  (1);;;;;Asociación Reynoso SRL;Conjunto de herramientas heurísticas personalizables
2021/01/25 11:11:49;INC30006112696;;Pending  (3);Request  (10000);;;;Asociación Reynoso SRL;Conjunto de herramientas heurísticas personalizables
2021/02/18 13:36:01;INC30006112696;;Resolved  (4);Automated Resolution Reported  (19000);;;;Asociación Reynoso SRL;Conjunto de herramientas heurísticas personalizables
2021/02/25 18:00:00;INC30006112696;;Closed  (5);;;;;Asociación Reynoso SRL;Conjunto de herramientas heurísticas personalizables
2021/01/12 09:40:36;INC30006210336;High  (1);Assigned  (1);;ALPHA_ROUTER;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/01/12 09:45:21;INC30006210336;;;;;cpedromo;Cayetana Isabela Pedro Morell;Viajes Rincón S. de H.;Aplicación óptima en red
2021/01/12 09:46:42;INC30006210336;;;;;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/01/12 09:47:34;INC30006210336;;;;BLUE_CACHE;cmuñizpa;Custodia Elvira Múñiz Pastor;Viajes Rincón S. de H.;Aplicación óptima en red
2021/01/12 10:39:31;INC30006210336;;;;;cnevadoca;Calisto Juan Carlos Nevado Castilla;Viajes Rincón S. de H.;Aplicación óptima en red
2021/01/12 11:22:33;INC30006210336;;;;;cnicolauma;Cristina Nicolau Marin;Viajes Rincón S. de H.;Aplicación óptima en red
2021/01/12 18:00:15;INC30006210336;;Pending  (3);Client Action Required  (8000);;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/01/14 10:01:13;INC30006210336;;Assigned  (1);;ALPHA_ACROBAT;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/01/14 10:20:02;INC30006210336;;;;;llarrañagaca;Luna Larrañaga Castellanos;Viajes Rincón S. de H.;Aplicación óptima en red
