Audit_date;"ID";"Priority";"Status";"Status_Reason";"Assigned_Group";"Login";"Assignee";"Company";"Company_desc"
2021/06/15 11:05:36;INC30007126662;Low  (3);Assigned  (1);;BLUE_CACHE;;;Díez, Márquez y Vega SA;Infraestructura radical realineada
2021/06/15 11:11:02;INC30007126662;;;;;aalcantarazo;Azeneth Alcántara Zorrilla;Díez, Márquez y Vega SA;Infraestructura radical realineada
2021/06/15 11:12:27;INC30007126662;;;;;gmaciassa;Griselda Macías Saura;Díez, Márquez y Vega SA;Infraestructura radical realineada
2021/06/15 11:13:00;INC30007126662;;Pending  (3);Future Enhancement  (11000);;;;Díez, Márquez y Vega SA;Infraestructura radical realineada
2021/06/24 17:49:10;INC30007126662;;Resolved  (4);No Further Action Required  (17000);;;;Díez, Márquez y Vega SA;Infraestructura radical realineada
2021/07/01 18:00:00;INC30007126662;;Closed  (5);Automated Resolution Reported  (19000);;;;Díez, Márquez y Vega SA;Infraestructura radical realineada
2021/06/16 18:14:53;INC30007137519;Medium  (2);Assigned  (1);;ALPHA_ROUTER;;;Rodarte y Samaniego;Analizador receptivo de ingeniería inversa
2021/06/16 18:15:10;INC30007137519;;In Progress  (2);;;criodu;Cruz Río Duque;Rodarte y Samaniego;Analizador receptivo de ingeniería inversa
2021/06/16 18:15:36;INC30007137519;;Assigned  (1);;BLACK_BOX;;;Rodarte y Samaniego;Analizador receptivo de ingeniería inversa
2021/06/16 18:17:08;INC30007137519;;;;;aaznarga;Alexandra Aznar Gargallo;Rodarte y Samaniego;Analizador receptivo de ingeniería inversa
2021/06/16 18:17:20;INC30007137519;;In Progress  (2);;;;;Rodarte y Samaniego;Analizador receptivo de ingeniería inversa
2021/06/16 18:20:52;INC30007137519;;Pending  (3);Client Action Required  (8000);;;;Rodarte y Samaniego;Analizador receptivo de ingeniería inversa
2021/06/25 09:07:48;INC30007137519;;Resolved  (4);Monitoring Incident  (14000);;;;Rodarte y Samaniego;Analizador receptivo de ingeniería inversa
2021/07/02 18:00:00;INC30007137519;;Closed  (5);Automated Resolution Reported  (19000);;;;Rodarte y Samaniego;Analizador receptivo de ingeniería inversa
2021/06/16 22:02:49;INC30007137660;Low  (3);Assigned  (1);;GREEN_BAY;;;Betancourt y Villa;Soporte tangible reducido
