Audit_date;"ID";"Priority";"Status";"Status_Reason";"Assigned_Group";"Login";"Assignee";"Company";"Company_desc"
2022/01/25 14:23:05;INC30008098664;Medium  (2);Assigned  (1);;BLUE_CACHE;;;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/01/25 14:29:16;INC30008098664;;In Progress  (2);;;aaragonesva;África Azucena Aragonés Varela;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/01/25 17:23:57;INC30008098664;;Assigned  (1);;GREEN_BAY;;;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/02/10 15:24:44;INC30008098664;;;;GREEN_BAY;;;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/02/10 15:25:08;INC30008098664;;;;;alloretca;Ainoa Lloret Capdevila;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/02/10 15:25:18;INC30008098664;;In Progress  (2);;;aaragonesva;África Azucena Aragonés Varela;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/02/10 15:29:51;INC30008098664;;Assigned  (1);;;anavarreteag;Albert Navarrete Aguirre;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/02/10 15:30:38;INC30008098664;;Pending  (3);Client Action Required  (8000);;;;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/02/28 18:05:49;INC30008098664;Low  (3);;;;;;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/03/01 14:16:38;INC30008098664;;In Progress  (2);;;;;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/03/01 14:24:46;INC30008098664;;Pending  (3);Client Action Required  (8000);;;;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/03/03 16:21:13;INC30008098664;;Resolved  (4);No Further Action Required  (17000);;;;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/03/10 18:00:00;INC30008098664;;Closed  (5);Automated Resolution Reported  (19000);;;;Granado y Ledesma y Asoc.;Infraestructura organizada habilitada en la web
2022/02/14 06:58:04;INC30008188551;High  (1);Assigned  (1);;ALPHA_ROUTER;;;Armijo y Razo;Pronóstico operativo de 4th Generation
2022/02/14 06:58:23;INC30008188551;;;;;esolanoes;Elpidio Ismael Solano Español;Armijo y Razo;Pronóstico operativo de 4th Generation
2022/02/14 07:00:10;INC30008188551;;;;;;;Armijo y Razo;Pronóstico operativo de 4th Generation
2022/02/14 07:00:41;INC30008188551;;;;BLACK_BOX;;;Armijo y Razo;Pronóstico operativo de 4th Generation
2022/02/14 07:03:46;INC30008188551;;;;;grosadoca;Genoveva Rosado Cañas;Armijo y Razo;Pronóstico operativo de 4th Generation
2022/02/14 07:04:46;INC30008188551;;In Progress  (2);;;;;Armijo y Razo;Pronóstico operativo de 4th Generation
2022/02/14 08:32:03;INC30008188551;;Pending  (3);Client Action Required  (8000);;;;Armijo y Razo;Pronóstico operativo de 4th Generation
2022/02/23 10:47:38;INC30008188551;;Resolved  (4);No Further Action Required  (17000);;;;Armijo y Razo;Pronóstico operativo de 4th Generation
2022/03/02 18:00:00;INC30008188551;;Closed  (5);Automated Resolution Reported  (19000);;;;Armijo y Razo;Pronóstico operativo de 4th Generation
2022/02/15 13:31:16;INC30008200296;Medium  (2);Assigned  (1);;ALPHA_ROUTER;;;Viajes Rincón S. de H.;Aplicación óptima en red
2022/02/15 13:36:12;INC30008200296;;;;;cmartorellgo;Candelario Martorell Gomila;Viajes Rincón S. de H.;Aplicación óptima en red
2022/02/15 13:37:07;INC30008200296;;;;ALPHA_ACROBAT;;;Viajes Rincón S. de H.;Aplicación óptima en red
2022/02/15 13:41:18;INC30008200296;;;;;imurme;Iris Mur Melero;Viajes Rincón S. de H.;Aplicación óptima en red
2022/02/15 13:43:01;INC30008200296;;;;ALPHA_ROUTER;;;Viajes Rincón S. de H.;Aplicación óptima en red
2022/02/15 13:45:55;INC30008200296;;;;BLUE_CACHE;;;Viajes Rincón S. de H.;Aplicación óptima en red
2022/02/15 15:49:42;INC30008200296;;Resolved  (4);No Further Action Required  (17000);;asedanoal;Águeda Sedano Alemany;Viajes Rincón S. de H.;Aplicación óptima en red
