Audit_date;"ID";"Priority";"Status";"Status_Reason";"Assigned_Group";"Login";"Assignee";"Company";"Company_desc"
2021/02/26 11:30:21;INC30006526562;Medium  (2);Assigned  (1);;BLUE_CACHE;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/02/26 12:07:46;INC30006526562;;;;ALPHA_ROUTER;dsevillace;Diana Sevilla Cerezo;Viajes Rincón S. de H.;Aplicación óptima en red
2021/02/26 12:10:18;INC30006526562;;;;FILEFROST;llobatopa;Laura Lobato Pavón;Viajes Rincón S. de H.;Aplicación óptima en red
2021/02/26 12:41:42;INC30006526562;;;;BLUE_CACHE;cnicolauma;Cristina Nicolau Marin;Viajes Rincón S. de H.;Aplicación óptima en red
2021/02/26 12:54:51;INC30006526562;;In Progress  (2);;;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/02/26 13:20:15;INC30006526562;;Assigned  (1);;FILEFROST;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/02/26 13:25:57;INC30006526562;;;;;llobatopa;Laura Lobato Pavón;Viajes Rincón S. de H.;Aplicación óptima en red
2021/02/26 14:56:00;INC30006526562;;In Progress  (2);;;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/02/26 14:59:51;INC30006526562;;Pending  (3);Client Action Required  (8000);;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/04/01 08:11:00;INC30006526562;;;;;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/04/06 10:04:00;INC30006526562;;Assigned  (1);;BLUE_CACHE;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/04/06 10:06:36;INC30006526562;;;;;aalcantarazo;Azeneth Alcántara Zorrilla;Viajes Rincón S. de H.;Aplicación óptima en red
2021/04/06 15:51:05;INC30006526562;;;;;gmaciassa;Griselda Macías Saura;Viajes Rincón S. de H.;Aplicación óptima en red
2021/04/06 15:54:02;INC30006526562;;;;;ljordaco;Leonardo Jordá Costa;Viajes Rincón S. de H.;Aplicación óptima en red
2021/04/06 15:55:38;INC30006526562;;Pending  (3);Future Enhancement  (11000);;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/04/13 11:34:50;INC30006526562;;;;;gmaciassa;Griselda Macías Saura;Viajes Rincón S. de H.;Aplicación óptima en red
2021/04/21 12:37:08;INC30006526562;;Resolved  (4);No Further Action Required  (17000);;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/04/28 18:00:00;INC30006526562;;Closed  (5);Automated Resolution Reported  (19000);;;;Viajes Rincón S. de H.;Aplicación óptima en red
2021/03/08 10:10:10;INC30006581653;Medium  (2);Assigned  (1);;BLUE_CACHE;;;Betancourt y Villa;Soporte tangible reducido
2021/03/08 10:19:07;INC30006581653;;;;ALPHA_ROUTER;dsevillace;Diana Sevilla Cerezo;Betancourt y Villa;Soporte tangible reducido
2021/03/08 10:19:40;INC30006581653;;;;BLUE_CACHE;cmuñizpa;Custodia Elvira Múñiz Pastor;Betancourt y Villa;Soporte tangible reducido
2021/03/08 10:53:08;INC30006581653;;;;;cnicolauma;Cristina Nicolau Marin;Betancourt y Villa;Soporte tangible reducido
2021/03/08 10:58:46;INC30006581653;;;;;asedanoal;Águeda Sedano Alemany;Betancourt y Villa;Soporte tangible reducido
2021/03/08 11:46:15;INC30006581653;;In Progress  (2);;;;;Betancourt y Villa;Soporte tangible reducido
2021/03/09 09:45:56;INC30006581653;;Pending  (3);Client Action Required  (8000);;;;Betancourt y Villa;Soporte tangible reducido
2021/03/18 12:38:19;INC30006581653;;In Progress  (2);;;;;Betancourt y Villa;Soporte tangible reducido
2021/03/19 13:58:19;INC30006581653;;Pending  (3);Client Action Required  (8000);;;;Betancourt y Villa;Soporte tangible reducido
2021/03/22 09:37:08;INC30006581653;;In Progress  (2);;;;;Betancourt y Villa;Soporte tangible reducido
2021/03/25 10:48:31;INC30006581653;;;;;cnicolauma;Cristina Nicolau Marin;Betancourt y Villa;Soporte tangible reducido
2021/03/30 15:48:33;INC30006581653;;Assigned  (1);;;eestradasa;Ezequiel Estrada Sanmiguel;Betancourt y Villa;Soporte tangible reducido
2021/04/07 12:44:38;INC30006581653;;Resolved  (4);Automated Resolution Reported  (19000);;;;Betancourt y Villa;Soporte tangible reducido
2021/04/14 18:00:00;INC30006581653;;Closed  (5);;;;;Betancourt y Villa;Soporte tangible reducido
2021/03/12 13:41:19;INC30006618148;Medium  (2);Assigned  (1);;ALPHA_ROUTER;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/12 13:43:29;INC30006618148;;;;;damadorma;Domitila Amador Manzanares;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/12 13:45:38;INC30006618148;;;;;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/12 13:48:13;INC30006618148;;;;;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/12 13:49:34;INC30006618148;;;;BINARY_BROADCAST;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/12 13:49:42;INC30006618148;;;;;curiagu;Consuela Uría Guardia;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/12 13:52:57;INC30006618148;;;;GREEN_BAY;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/12 14:07:09;INC30006618148;;;;;cmuñizpa;Custodia Elvira Múñiz Pastor;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/12 23:30:12;INC30006618148;;;;;dgascongi;Dafne Gascón Girón;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/13 04:06:27;INC30006618148;;;;BINARY_BROADCAST;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/13 04:06:34;INC30006618148;;;;;curiagu;Consuela Uría Guardia;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/15 08:20:47;INC30006618148;;;;;dberrocalca;David Berrocal Cantero;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/15 09:11:38;INC30006618148;;;;GREEN_BAY;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/15 09:14:02;INC30006618148;;;;;cmuñizpa;Custodia Elvira Múñiz Pastor;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/15 14:11:08;INC30006618148;;;;;cnicolauma;Cristina Nicolau Marin;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/15 14:13:22;INC30006618148;;Pending  (3);Client Action Required  (8000);;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 09:28:45;INC30006618148;Low  (3);Assigned  (1);;BITBLAZE;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 09:42:16;INC30006618148;;;;;cleonqu;Camila Leon Quesada;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 10:23:28;INC30006618148;;;;GREEN_BAY;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 10:26:19;INC30006618148;;;;;cmuñizpa;Custodia Elvira Múñiz Pastor;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 13:11:35;INC30006618148;;;;BITBLAZE;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 13:15:34;INC30006618148;;;;;abermuzte;Ale Jose Carlos Bermúdez Tenorio;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 15:36:22;INC30006618148;;;;;cmatasol;Carla Matas Olivé;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 16:07:05;INC30006618148;;;;ALPHA_ROUTER;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 16:28:11;INC30006618148;;;;BLUE_CACHE;cmuñizpa;Custodia Elvira Múñiz Pastor;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 16:43:00;INC30006618148;;;;BUFFERBAY;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/17 17:00:52;INC30006618148;;In Progress  (2);;;ecabezasec;Eleuterio Mariano Cabezas Echeverría;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/26 16:20:40;INC30006618148;;Assigned  (1);;BITBLAZE;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/26 16:41:24;INC30006618148;;;;;cmatasol;Carla Matas Olivé;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/26 16:54:16;INC30006618148;;;;ALPHA_ROUTER;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/26 16:59:56;INC30006618148;;;;;cvelascove;Carlito Velasco Verdú;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/26 17:00:22;INC30006618148;;;;BLUE_CACHE;cmuñizpa;Custodia Elvira Múñiz Pastor;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/26 23:41:04;INC30006618148;;;;;dgascongi;Dafne Gascón Girón;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/27 02:26:58;INC30006618148;;;;BUFFERBAY;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/27 03:00:03;INC30006618148;;In Progress  (2);;;ecabezasec;Eleuterio Mariano Cabezas Echeverría;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/27 05:21:33;INC30006618148;;Assigned  (1);;BLUE_CACHE;;;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
2021/03/27 05:24:06;INC30006618148;;;;ALPHA_ROUTER;csoleraab;Concha Solera Abellán;Roque-Figueroa S. de H.;Enfoque de base de base ascendente
